lead_id,campaign_id,vertical,first_name,last_name,email,phone_e164,state,city,zip_code,status,dnc_flagged,dnc_flagged_at,lead_score,consent_timestamp,consent_method,vertical_data,created_at,updated_at
596ac727-1cf5-4a15-b38e-e6db014e1456,5035edcc-74bd-4b5a-84e3-ddb3f76dd792,Healthcare,Kaitlyn,Carroll,scott74@example.net,+12648508606,TN,Benderhaven,27781,Dialing,False,,47.0,2026-03-06T12:17:36,Web Form,"{""specialty"": ""Neurology"", ""payer_id"": ""CENTENE007"", ""member_id"": ""MBR-34471349"", ""date_of_birth"": ""1994-03-02"", ""insurance_plan"": ""PLAN-oPj-3618"", ""group_number"": ""GRP-421024"", ""facility_preference"": ""Sunrise Medical Center"", ""primary_complaint"": ""New symptoms"", ""preferred_appointment_time"": ""Any"", ""lead_source"": ""Online Inquiry"", ""consent_method"": ""Web Form""}",2026-05-03T19:59:23.520325,2026-05-05T13:59:23.520325
f5f767ae-3adc-4eee-a88d-ee27dea32028,d4315796-a40a-4c43-b7f4-7e5ece684a15,AR,Carly,Preston,cassandra01@example.org,+17536293531,VT,Port Emilyview,40947,Dialing,False,,12.0,,,"{""debt_type"": ""Personal Loan"", ""original_creditor"": ""Discover Financial"", ""original_balance"": 37599.34, ""current_balance"": 42551.77, ""account_age_days"": 2611, ""last_payment_date"": ""2019-05-25"", ""statute_of_limitations_years"": 6, ""sol_expired"": true, ""lead_source"": ""Skip Trace"", ""ssn_last4"": ""8771"", ""date_of_birth"": ""2002-12-12""}",2026-04-15T19:16:26.520325,2026-04-17T14:16:26.520325
e50f23a8-948a-43c7-bbb8-12ea5307f4b7,a3679446-79fc-42f8-95ca-003bc17cb437,Healthcare,Tyler,Bates,jcervantes@example.org,+18605671992,OH,Millerview,84000,Dialing,False,,97.0,2026-04-13T19:35:18,Verbal,"{""specialty"": ""Dermatology"", ""payer_id"": ""AETNA002"", ""member_id"": ""MBR-90278742"", ""date_of_birth"": ""1950-02-22"", ""insurance_plan"": ""PLAN-EwA-9671"", ""group_number"": ""GRP-551256"", ""facility_preference"": ""Coastal Care Associates"", ""primary_complaint"": ""Specialist referral"", ""preferred_appointment_time"": ""Morning"", ""lead_source"": ""Online Inquiry"", ""consent_method"": ""Verbal""}",2026-02-12T21:41:20.520325,2026-02-14T08:41:20.520325
dcc861cb-02ac-4639-bf13-b4c23ac5f262,5035edcc-74bd-4b5a-84e3-ddb3f76dd792,Healthcare,Keith,Gilmore,omartinez@example.net,+14214386383,PA,Lake Eric,41186,New,False,,2.0,2026-07-13T16:37:04,Web Form,"{""specialty"": ""Mental Health"", ""payer_id"": ""BCBS001"", ""member_id"": ""MBR-51680876"", ""date_of_birth"": ""1973-03-05"", ""insurance_plan"": ""PLAN-NWF-0385"", ""group_number"": ""GRP-703482"", ""facility_preference"": ""Clearwater Health Partners"", ""primary_complaint"": ""New symptoms"", ""preferred_appointment_time"": ""Afternoon"", ""lead_source"": ""Online Inquiry"", ""consent_method"": ""Web Form""}",2026-03-30T00:22:16.520325,2026-03-30T11:22:16.520325
f511c143-4837-42b3-a583-4ebb931eefb4,caf876ab-d2bd-40a2-b3b4-e5f0efa3ec40,Healthcare,Patrick,Weeks,michellehill@example.com,+13299597897,AR,Sarahhaven,96363,Recycled,False,,58.0,2025-09-12T14:14:31,Web Form,"{""specialty"": ""Cardiology"", ""payer_id"": ""KAISER008"", ""member_id"": ""MBR-80861317"", ""date_of_birth"": ""1951-06-17"", ""insurance_plan"": ""PLAN-GTr-1274"", ""group_number"": ""GRP-677378"", ""facility_preference"": ""Pinnacle Medical Group"", ""primary_complaint"": ""Annual checkup"", ""preferred_appointment_time"": ""Any"", ""lead_source"": ""Direct Mail"", ""consent_method"": ""Web Form""}",2026-01-27T20:56:12.520325,2026-01-29T13:56:12.520325
8834adc8-18a9-4a44-9011-29ff25869d29,3ae2c7b4-47db-4e8e-9e0f-2e2a5112e364,Insurance,Lori,Campbell,mary97@example.org,+16906117984,AR,Ryanstad,59925,Dispositioned,False,,67.0,2025-10-30T04:18:38,SMS,"{""product_type"": ""home"", ""coverage_type"": ""HO-3"", ""date_of_birth"": ""1959-08-03"", ""household_size"": 1, ""annual_income"": 34860, ""zip_code"": ""26540"", ""aca_eligible"": true, ""aca_subsidy_eligible"": true, ""tobacco_user"": false, ""lead_source"": ""TV Ad"", ""consent_method"": ""SMS""}",2026-03-23T14:18:54.520325,2026-03-24T08:18:54.520325
5fc33d9e-2b3a-4a07-9bda-c3ee7b4a9e43,afe63de6-8441-47a8-bae4-b314f5fcd99b,RealEstate,Nicholas,Cantu,tinaallen@example.com,+18196402624,NC,Port Kimberly,22463,Contacted,False,,40.0,,,"{""interest_type"": ""buyer"", ""target_state"": ""TN"", ""target_city"": ""Andreaside"", ""budget_min"": 1500000, ""budget_max"": 5000000, ""timeline_months"": 24, ""lead_source"": ""Facebook Ad"", ""pre_approval_status"": ""In Progress"", ""desired_property_type"": ""Multi-Family"", ""move_in_timeline"": ""1-3 months"", ""first_time_buyer"": false, ""down_payment_pct"": 21.3}",2026-06-10T03:04:54.520325,2026-06-11T21:04:54.520325
81d63d8e-9ba1-4977-81fe-844eb0d7cb0c,caf876ab-d2bd-40a2-b3b4-e5f0efa3ec40,Healthcare,Terrance,Costa,cindy61@example.com,+13569038770,MS,Finleyfort,56346,Dispositioned,False,,96.0,2025-08-16T11:31:51,Verbal,"{""specialty"": ""Cardiology"", ""payer_id"": ""AETNA002"", ""member_id"": ""MBR-05766270"", ""date_of_birth"": ""1953-02-24"", ""insurance_plan"": ""PLAN-gCg-2895"", ""group_number"": ""GRP-870262"", ""facility_preference"": ""Riverside Specialty Group"", ""primary_complaint"": ""Follow-up"", ""preferred_appointment_time"": ""Morning"", ""lead_source"": ""Direct Mail"", ""consent_method"": ""Verbal""}",2026-04-09T05:20:53.520325,2026-04-10T08:20:53.520325
5a066e61-1690-4d92-85a3-e91c7b296f35,d4315796-a40a-4c43-b7f4-7e5ece684a15,AR,Jimmy,Cohen,wendy16@example.org,+14948146119,AR,South Garrettport,39643,Dispositioned,False,,71.0,,,"{""debt_type"": ""Student Loan"", ""original_creditor"": ""Synchrony Bank"", ""original_balance"": 7385.49, ""current_balance"": 8154.93, ""account_age_days"": 2065, ""last_payment_date"": ""2020-11-21"", ""statute_of_limitations_years"": 5, ""sol_expired"": true, ""lead_source"": ""Skip Trace"", ""ssn_last4"": ""8091"", ""date_of_birth"": ""1969-06-04""}",2026-05-10T22:20:27.520325,2026-05-12T13:20:27.520325
f18d93f8-b11e-4397-bc09-c5478496aee7,ec2c0889-887a-449e-9f72-4ea1064ea1cb,AR,Kelly,Brooks,johnjenkins@example.net,+18587701430,UT,East Gregory,96159,Recycled,False,,18.0,,,"{""debt_type"": ""Auto Loan"", ""original_creditor"": ""LVNV Funding"", ""original_balance"": 1788.42, ""current_balance"": 1929.21, ""account_age_days"": 1209, ""last_payment_date"": ""2023-03-27"", ""statute_of_limitations_years"": 6, ""sol_expired"": false, ""lead_source"": ""Skip Trace"", ""ssn_last4"": ""0050"", ""date_of_birth"": ""1982-01-06""}",2026-05-09T10:05:19.520325,2026-05-11T09:05:19.520325
